Material,Density (g/ccm),Hardness (HB),Yield strength (Mpa),Elongation (%),Tensile modulus (Gpa),Shear modulus (Gpa),Shear strength (Mpa),Specific heat (J/kg.K),Melting temperature (K),,,,
AA99.9%,2.7,15,10,50,62,25,34,900,660,,,,
AA1100-O,2.71,23,34,45,69,26,62,904,643,,,,
AA1100-H12,2.71,28,103,25,69,26,69,904,643,,,,
AA1100-H14,2.71,32,117,20,69,26,76,904,643,,,,
AA1100-H16,2.71,38,138,17,69,26,83,904,643,,,,
AA1100-H18,2.71,44,152,15,69,26,90,904,643,,,,
AA2017-O,2.8,45,70,22,73.1,27.2,125,962,786,,,,
AA2017-T3,2.8,120,345,18,73.1,27.2,283,962,786,,,,
AA2017-T4,2.8,105,275,22,73.1,27.2,262,962,786,,,,
AA2017-T451,2.8,105,275,22,73.1,27.2,262,962,786,,,,
AA2024-O,2.77,47,75,20,72.4,28,125,875,775,,,,
AA2024-T3,2.77,120,345,18,72.4,28,285,875,775,,,,
AA2024-T4,2.77,120,325,20,72.4,28,285,875,775,,,,
AA2024-T81,2.77,128,450,2,72.4,28,295,875,775,,,,
AA2024-T351,2.77,130,395,13,72.4,28,290,875,775,,,,
AA2024-T361,2.77,130,395,13,72.4,28,290,875,775,,,,
AA2219-O,2.84,49,76,18,73.8,27,106,864,816,,,,
AA2219-T31,2.84,100,248,17,73.8,27,230,864,816,,,,
AA2219-T351,2.84,100,248,17,73.8,27,230,864,816,,,,
AA2219-T37,2.84,117,317,11,73.8,27,255,864,816,,,,
AA2219-T62,2.84,115,290,10,73.8,27,255,864,816,,,,
AA2219-T81,2.84,130,352,10,73.8,27,285,864,816,,,,
AA2219-T851,2.84,130,352,10,73.8,27,285,864,816,,,,
AA2219-T87,2.84,130,393,10,73.8,27,280,864,816,,,,
AA3003-O,2.73,28,42,35,70,25,76,893,916,,,,
AA3003-H12,2.73,35,125,15,70,25,83,893,916,,,,
AA3003-H14,2.73,40,145,12,70,25,97,893,916,,,,
AA3003-H16,2.73,47,175,9.5,70,25,105,893,916,,,,
AA3003-H18,2.73,55,185,7,70,25,110,893,916,,,,
AA5083-O,2.66,77,145,22,70.3,26.4,172,900,843,,,,
AA5083-H112,2.66,81,193,16,70.3,26.4,180,900,843,,,,
AA5083-H116,2.66,85,228,16,70.3,26.4,190,900,843,,,,
AA5083-H321,2.66,85,228,16,70.3,26.4,190,900,843,,,,
AA5083-H32,2.66,87,248,10,70.3,26.4,195,900,843,,,,
AA5083-H323,2.66,87,248,10,70.3,26.4,195,900,843,,,,
AA5083-H34,2.66,93,283,9,70.3,26.4,210,900,843,,,,
AA5083-H343,2.66,93,283,9,70.3,26.4,210,900,843,,,,
AA5154-O,2.66,58,117,27,69.3,25.9,152,900,866,,,,
AA5154-H32,2.66,67,207,15,69.3,25.9,152,900,866,,,,
AA5154-H34,2.66,73,228,13,69.3,25.9,165,900,866,,,,
AA5154-H343,2.66,73,228,13,69.3,25.9,165,900,866,,,,
AA5154-H36,2.66,78,248,12,69.3,25.9,179,900,866,,,,
AA5154-H38,2.66,80,269,10,69.3,25.9,193,900,866,,,,
AA5154-H112,2.66,63,117,25,69.3,25.9,145,900,866,,,,
AA5456-O,2.66,83,159,24,70.3,26,190,900,841,,,,
AA5456-H111,2.66,87,228,18,70.3,26,195,900,841,,,,
AA5456-H112,2.66,83,165,22,70.3,26,190,900,841,,,,
AA5456-H116,2.66,90,255,16,70.3,26,207,900,841,,,,
AA5456-H321,2.66,90,255,16,70.3,26,207,900,841,,,,
AA5754-H22,2.67,70,185,15,70.3,26,150,900,841,,,,
AA6061-O,2.7,30,55,30,68.9,26,83,896,855,,,,
AA6061-T4,2.7,65,145,25,68.9,26,165,896,855,,,,
AA6061-T451,2.7,65,145,25,68.9,26,165,896,855,,,,
AA6061-T6,2.7,95,276,17,68.9,26,207,896,855,,,,
AA6061-T651,2.7,95,276,17,68.9,26,207,896,855,,,,
AA6061-CMG,2.7,77,198,21.7,68.9,26,182,896,855,,,,
AA7075-O,2.8,60,103,17,71,26.9,152,960,750,,,,
AA7075-T6,2.8,150,503,11,71,26.9,331,960,750,,,,
AA7075-T651,2.8,150,503,11,71,26.9,331,960,750,,,,
AA7075-T73,2.8,135,434,13,71,26.9,300,960,750,,,,
Alclad7075-O,2.8,60,97,17,71,26.9,152,960,750,,,,
Alclad 7075-T6,2.8,150,462,11,71,26.9,317,960,750,,,,
Alclad7075-T651,2.8,150,462,11,71,26.9,317,960,750,,,,
AA7178-O,2.83,60,96.5,16,71.7,27.5,135,856,750,,,,
AA7178-T6,2.83,160,540,11,71.7,27.5,305,856,750,,,,
AA7178-T651,2.83,160,540,11,71.7,27.5,305,856,750,,,,
AA7178-T76,2.83,152,505,11,71.7,27.5,295,856,750,,,,
AA7178-T7651,2.83,152,505,11,71.7,27.5,295,856,750,,,,
Ti-6Al-4V,4.43,334,880,14,113.8,44,550,526,1878,,,,
Inconel617,8.36,170,340,62,211.0,81.4,620,419,1380,,,,
Ti-6Al-2Sn-4Zr-2Mo,4.54,304,860,15,113.8,43.1,660,460,1700,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
