ref,proj_mat,proj_density,angle,bumper_mat,bumper_thick,bumper_density,standoff,wall_thick,wall_mat,wall_density,wall_yieldksi,velocity,dc_NNO,dc_modNNO,dc_reimerdes,dc_JSCwhipple,dc_JSCwhipple_mod
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.4,0.5269009345465622,0.5016387430555982,0.4382783062950383,0.4841353356021739,0.4891351074307936
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.5,0.5322361364966475,0.5074733665512421,0.4418469765701028,0.48660053065847547,0.49173459504011807
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.6,0.5375713384467328,0.5133079900468861,0.4454156468451673,0.48906572571477697,0.49433408264944256
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.7,0.5429065403968182,0.5191426135425301,0.4489843171202319,0.4915309207710785,0.4969335702587671
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.8,0.5482417423469035,0.5249772370381741,0.4525529873952965,0.49399611582738,0.4995330578680916
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,7.9,0.5535769442969888,0.5308118605338181,0.45612165767036106,0.49646131088368156,0.5021325454774161
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.0,0.5589121462470741,0.5366464840294621,0.4596903279454256,0.49892650593998306,0.5047320330867406
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.1,0.5642473481971594,0.5424811075251061,0.4632589982204901,0.5013917009962846,0.5073315206960651
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.2,0.5695825501472447,0.54831573102075,0.4668276684955547,0.5038568960525861,0.5099310083053896
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.3,0.5749177520973301,0.5541503545163942,0.47039633877061926,0.5063220911088876,0.5125304959147141
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.4,0.5802529540474154,0.5599849780120381,0.47396500904568384,0.5087872861651892,0.5151299835240386
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.5,0.5855881559975007,0.5658196015076821,0.47753367932074836,0.5112524812214907,0.5177294711333631
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.6,0.590923357947586,0.5716542250033261,0.4811023495958129,0.5137176762777922,0.5203289587426876
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.7,0.5962585598976713,0.57748884849897,0.48467101987087746,0.5161828713340937,0.5229284463520121
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.8,0.6015937618477567,0.5833234719946141,0.48823969014594204,0.5186480663903952,0.5255279339613367
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,8.9,0.606928963797842,0.5891580954902581,0.4918083604210066,0.5211132614466968,0.5281274215706612
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,9.0,0.6122641657479273,0.5949927189859021,0.49537703069607114,0.5235784565029983,0.5307269091799857
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,9.1,0.6175993676980126,0.600827342481546,0.49894570097113566,0.5260436515592998,0.5333263967893102
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,9.2,0.6229345696480979,0.60666196597719,0.5025143712462002,0.5285088466156013,0.5359258843986346
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,9.3,0.6282697715981833,0.612496589472834,0.5060830415212648,0.5309740416719029,0.5385253720079591
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,9.4,0.6336049735482686,0.6183312129684781,0.5096517117963294,0.5334392367282044,0.5411248596172837
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,9.5,0.6389401754983539,0.624165836464122,0.5132203820713939,0.5359044317845059,0.5437243472266082
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,9.6,0.6442753774484391,0.630000459959766,0.5167890523464584,0.5383696268408074,0.5463238348359327
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,9.700000000000001,0.6496105793985246,0.6358350834554101,0.520357722621523,0.540834821897109,0.5489233224452572
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,9.8,0.6549457813486099,0.6416697069510541,0.5239263928965876,0.5433000169534105,0.5515228100545817
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,9.9,0.6602315810542485,0.6474528404431295,0.5274685339966007,0.5457425662337468,0.5541004090800127
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,10.0,0.6558226684786013,0.6431292620923179,0.5257954006411576,0.5437387010721229,0.5523750474514192
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,10.1,0.6514866310263532,0.6388771483714883,0.5241436141082594,0.541763489333019,0.5506671567228687
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,10.200000000000001,0.6472215603283071,0.634694627847809,0.5225128262045018,0.5398160844580193,0.548976155189012
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,10.3,0.6430256160616944,0.6305798958178421,0.5209026611010108,0.5378956700492541,0.5473015034350214
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,10.4,0.6388970228918629,0.6265312113084262,0.5193127209836792,0.5360014592516119,0.5456427012527006
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,10.5,0.6348340675792816,0.6225468942396732,0.517742591352234,0.5341326939797048,0.543999284638206
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,10.6,0.6308350962414492,0.6186253227398731,0.5165247329363297,0.5322886440556182,0.5423708221825703
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,10.700000000000001,0.626898511760038,0.6147649306028229,0.514937517826269,0.5304686064445356,0.5407569114345903
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,10.8,0.6230227713242966,0.610964204878776,0.5133770411664742,0.5286719042387364,0.5391571750132913
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,10.9,0.6192063841023625,0.6072216835908265,0.5118418069227818,0.5268978858537195,0.5375712571368364
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,11.0,0.6154479090327212,0.6035359535691146,0.5103304301110392,0.5251459240069685,0.5359988197941551
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,11.1,0.6117459527285856,0.5999056483957667,0.5088416311469421,0.5234154146694607,0.5344395395963739
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,11.200000000000001,0.6080991674884623,0.5963294464539667,0.5073742299501331,0.5217057761024526,0.533201683346739
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,11.3,0.6045062494066336,0.5928060690750097,0.5059271395729386,0.5204007477422506,0.5316043350712175
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,11.4,0.6009659365776997,0.5893342787775957,0.5044993596630302,0.518691070506507,0.5300265125007173
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,11.5,0.5974770073897244,0.5859128775940102,0.5030899703643492,0.5170021820886617,0.5284677325362344
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,11.6,0.5940382789008815,0.5825407054781915,0.501450597518158,0.5153337910903995,0.5269274445912683
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,11.700000000000001,0.5906486052948381,0.5792166387910095,0.4999638637470819,0.513685591644871,0.5254050379757408
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,11.8,0.587306876410423,0.5759395888583926,0.4989462001936199,0.5120572641367206,0.5238998505789776
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,11.9,0.5840120163414056,0.5727085005982073,0.49760832875749794,0.5104484729089934,0.5224111785383113
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,12.0,0.5807629821024936,0.5695223512120758,0.496283361159135,0.508858866595138,0.5209382846141651
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,12.1,0.5775587623578884,0.5663801489385403,0.49497122170481883,0.5072880787124032,0.5194804081148251
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,12.200000000000001,0.5743983762089802,0.5632809318642217,0.49367179976898923,0.5057357269642768,0.5180367731665912
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,12.3,0.5712808720379703,0.5602237667898236,0.49238494649263975,0.5042014139354201,0.5166065981586623
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,12.4,0.56820532640441,0.5572077481480291,0.49111047370698696,0.5026847289818511,0.515189103472177
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,12.5,0.5651708429918313,0.5542319969705188,0.4896289823115561,0.5011852477975235,0.5137835193443234
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,12.6,0.5621765516018137,0.5512956599015079,0.4884270021708044,0.4997025351092544,0.5123890927797308
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,12.700000000000001,0.5592216071929959,0.5483979082553572,0.48723230317236993,0.4982361451066986,0.5110050936437363
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,12.8,0.5563051889626863,0.5455379371159594,0.48604446598497353,0.4967856241291078,0.5096308200408962
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,12.9,0.5534264994688686,0.5427149644757383,0.4851552669461502,0.4953505115532561,0.508265602699634
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,13.0,0.5505847637905296,0.5399282304122279,0.48380937612489966,0.49393034207234177,0.5072148350824539
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,13.1,0.5477792287243543,0.537176996300316,0.4824781358943513,0.49252464775865823,0.5056816136316944
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,13.200000000000001,0.545009162015951,0.5344605440583484,0.48116191951551046,0.49113295981322225,0.5041737282351976
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,13.3,0.5422738516238726,0.5317781754263953,0.47986102728071484,0.48975481045752955,0.502690246581149
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,13.4,0.5395726050147998,0.5291292112750758,0.4790466632784926,0.48838973510091044,0.5012301989423831
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,13.5,0.5369047484883465,0.5265129909434328,0.47790054054393627,0.4870372740040087,0.5002317868118392
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,13.6,0.5342696265300337,0.5239288716044286,0.476760032499926,0.48569697411494256,0.49891445990185235
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,13.700000000000001,0.5316666011910581,0.5213762276567185,0.4756251442634934,0.4843683906468005,0.49760223704295786
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,13.8,0.5290950514935608,0.5188544501414311,0.47449589734717557,0.4830510886894386,0.49629479483438266
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,13.9,0.5265543728601695,0.5163629461827508,0.473372325140895,0.4820196655504677,0.4949918408167547
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,14.0,0.5240439765666608,0.5139011384511746,0.4722544683336762,0.48058793021748625,0.4936931102718477
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,14.1,0.5215632892166441,0.5114684646483628,0.4711423714135294,0.4791762291205136,0.4923983626261082
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,14.200000000000001,0.5191117522372339,0.5090643770125731,0.47003607902197664,0.47778410547536665,0.491107377951673
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,14.3,0.5166888213947314,0.5066883418437151,0.4689356327927466,0.476411079926625,0.4898199530091627
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,14.4,0.5142939663293851,0.5043398390471174,0.46784106880777365,0.4750566532416768,0.48853589778040696
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,14.5,0.5119266701083576,0.5020183616951448,0.46675241519158694,0.4737203074382204,0.4872550315794697
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,14.6,0.5095864287960599,0.49972341560584976,0.4656696900544608,0.47287076456679655,0.4859771796234504
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,14.700000000000001,0.507272751041069,0.4974545189378852,0.46459289972492673,0.47163757293948305,0.484702169588227
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,14.8,0.5049851576788802,0.4952112018009452,0.4635220376270898,0.47041206188921075,0.4834298284405265
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,14.9,0.5027231813497833,0.49299300588103734,0.4624570828599262,0.4691939538000753,0.4821599794054872
test,AA2017-T4,2.8,45,AA6061-T651,0.1,2.7,10,0.4,AA6061-T651,2.7,40,15.0,0.5004863661311914,0.4907994840799273,0.4613979994801661,0.46798298493420976,0.4808924390891149
